FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9901,Mayor,Annual,1,1,221052,221052
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,122004,122004
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,111396,111396
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,94692,94692
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,84876,84876
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3005,Executive,0,,3 00,9,2976,Executive Assistant,Annual,1,1,118092,118092
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,100512,100512
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,71148,71148
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,57372,57372
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,133668,133668
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,94692,94692
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,78420,78420
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,67908,67908
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9870,Advance,Annual,2,1,67908,135816
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,99A2,Chief Operating Officer,Annual,1,1,200520,200520
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9899,Chief of Staff,Annual,1,1,210900,210900
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,200520,200520
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,86880,86880
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,1,1,151080,151080
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,93348,93348
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,73488,73488
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,70908,70908
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,68844,68844
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,62328,62328
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,3,1,59676,179028
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,113316,113316
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9854,Communications Director,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,125052,125052
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,100476,100476
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,90180,90180
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,89172,89172
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,86580,86580
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,134052,134052
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,925,Photographer,Annual,1,1,88692,88692
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,744,Press Aide II,Annual,1,1,83820,83820
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,744,Press Aide II,Annual,1,1,77988,77988
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,740,Press Aide,Annual,2,1,72432,144864
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,740,Press Aide,Annual,1,1,72420,72420
